,product_id,category,color,size,season,supplier,cost_price,list_price
82,P000083,Accessories,Blue,M,Summer,supplierd,67.57,190.05
83,P000084,Accessories,Black,XL,Summer,supplierd,45.13,121.32
84,P000085,Dresses,Green,XL,Summer,supplierd,5.11,47.63
85,P000086,Dresses,Red,XL,Fall,suppliera,30.37,127.65
86,P000087,Dresses,Green,S,Winter,supplierb,17.11,138.07
87,P000088,Dresses,Blue,L,Winter,supplierb,54.39,93.91
88,P000089,Bottoms,Yellow,L,Fall,supplierb,14.24,166.35
89,P000090,Tops,Red,XS,Spring,supplierc,6.35,140.06
90,P000091,Tops,Blue,M,Summer,supplierc,42.85,82.46
91,P000092,Dresses,Yellow,M,Summer,supplierb,68.82,166.61
92,P000093,Tops,Black,L,Winter,suppliera,69.26,116.06
93,P000094,Tops,Green,XS,Spring,supplierd,62.71,91.53
94,P000095,Dresses,Black,L,Fall,suppliera,61.31,82.17
95,P000096,Tops,White,S,Winter,supplierc,73.99,73.42
96,P000097,Accessories,Green,S,Summer,supplierc,52.12,86.83
97,P000098,Shoes,Yellow,XL,Summer,suppliera,24.05,87.38
98,P000099,Shoes,White,XL,Summer,supplierb,5.72,13.57
99,P000100,Dresses,Blue,L,Summer,supplierb,13.74,24.27
100,P000101,Bottoms,White,XL,Winter,suppliera,43.04,136.92
101,P000102,Dresses,Yellow,L,Winter,supplierc,29.73,38.26
102,P000103,Bottoms,Yellow,M,Fall,supplierd,55.21,31.71
103,P000104,Shoes,Blue,S,Winter,supplierb,44.91,70.95
104,P000105,Dresses,Black,XS,Spring,suppliera,48.93,132.85
105,P000106,Accessories,Red,XS,Winter,supplierd,13.01,88.82
106,P000107,Tops,Black,M,Spring,suppliera,58.34,183.59
107,P000108,Bottoms,White,L,Summer,supplierb,68.8,29.72
108,P000109,Tops,Blue,S,Winter,supplierb,42.08,32.32
109,P000110,Tops,White,L,Summer,supplierd,22.62,78.62
110,P000111,Unknown,Yellow,L,Winter,suppliera,47.54,169.19
111,P000112,Tops,Red,M,Fall,supplierb,40.24,97.06
112,P000113,Accessories,Green,M,Summer,supplierc,11.14,119.02
113,P000114,Tops,Green,XL,Summer,supplierb,54.56,163.63
114,P000115,Dresses,Green,M,Summer,supplierb,56.61,117.31
115,P000116,Unknown,White,XL,Spring,supplierc,13.26,199.7
116,P000117,Shoes,Green,XS,Fall,supplierc,75.25,197.86
117,P000118,Tops,Blue,XL,Summer,supplierb,59.3,119.47
118,P000119,Dresses,Red,XL,Fall,suppliera,44.2,119.48
119,P000120,Shoes,Yellow,XS,Spring,suppliera,47.8,42.73
120,P000121,Shoes,Black,S,Spring,supplierb,35.18,173.51
121,P000122,Bottoms,Yellow,L,Summer,supplierc,67.35,13.06
122,P000123,Accessories,Blue,L,Winter,supplierd,49.47,53.87
123,P000124,Tops,Red,M,Summer,supplierc,17.87,72.02
124,P000125,Dresses,Black,M,Winter,supplierc,57.86,19.97
125,P000126,Bottoms,Green,S,Fall,supplierd,45.99,56.05
126,P000127,Accessories,Black,M,Summer,suppliera,47.81,192.1
127,P000128,Bottoms,White,L,Spring,supplierc,56.69,189.89
128,P000129,Accessories,White,XL,Fall,supplierd,46.63,110.82
129,P000130,Accessories,Green,XL,Winter,supplierd,5.11,189.52
130,P000131,Tops,Green,M,Fall,supplierd,14.42,136.99
131,P000132,Accessories,Blue,L,Summer,supplierc,52.06,13.59
132,P000133,Bottoms,Blue,XS,Spring,suppliera,35.35,45.68
133,P000134,Accessories,Yellow,XS,Fall,supplierc,29.67,145.87
134,P000135,Tops,White,XL,Summer,supplierb,9.22,137.65
135,P000136,Tops,Red,L,Summer,supplierb,68.52,31.03
136,P000137,Bottoms,Blue,XL,Summer,suppliera,6.12,44.99
137,P000138,Shoes,Red,L,Summer,suppliera,32.81,194.23
138,P000139,Shoes,Yellow,XS,Winter,supplierd,20.29,123.89
139,P000140,Accessories,White,M,Winter,supplierb,11.94,30.96
140,P000141,Dresses,Blue,S,Winter,supplierc,47.19,91.63
141,P000142,Accessories,Red,M,Summer,supplierb,44.98,167.37
142,P000143,Bottoms,Yellow,L,Winter,supplierb,76.71,131.88
143,P000144,Bottoms,Red,XL,Spring,supplierc,16.39,94.34
144,P000145,Bottoms,Blue,XL,Spring,supplierd,66.59,20.83
145,P000146,Bottoms,Green,XS,Fall,suppliera,63.05,87.42
146,P000147,Bottoms,Yellow,XS,Winter,supplierd,40.99,137.41
147,P000148,Tops,Yellow,M,Spring,supplierd,9.88,154.74
148,P000149,Shoes,Black,M,Spring,supplierb,13.26,171.37
149,P000150,Bottoms,Green,S,Winter,suppliera,72.55,104.26
150,P000151,Dresses,Yellow,L,Spring,supplierb,41.11,105.97
151,P000152,Dresses,Black,M,Fall,suppliera,24.1,15.05
152,P000153,Dresses,Red,M,Winter,supplierc,40.45,67.07
153,P000154,Dresses,Blue,XS,Spring,supplierc,61.71,162.19
154,P000155,Tops,Yellow,L,Summer,supplierd,66.54,50.99
155,P000156,Dresses,White,XS,Summer,supplierb,29.37,88.75
156,P000157,Bottoms,Blue,S,Spring,suppliera,11.43,111.15
157,P000158,Accessories,Green,M,Winter,supplierb,52.72,161.59
158,P000159,Dresses,Black,M,Fall,suppliera,42.97,75.73
159,P000160,Tops,Blue,M,Spring,supplierc,10.62,177.02
160,P000161,Tops,Black,XL,Fall,supplierd,64.99,160.75
161,P000162,Dresses,Green,L,Summer,supplierc,61.81,98.46
162,P000163,Accessories,Green,XS,Winter,supplierc,62.37,180.58
163,P000164,Dresses,Blue,XS,Fall,suppliera,27.26,145.08
164,P000165,Tops,Yellow,XS,Spring,supplierb,35.62,72.62
165,P000166,Shoes,White,S,Summer,suppliera,29.83,55.4
166,P000167,Bottoms,Yellow,XL,Fall,supplierc,59.18,196.17
167,P000168,Tops,White,S,Winter,supplierb,61.45,69.5
168,P000169,Dresses,Black,L,Spring,suppliera,25.15,149.8
169,P000170,Bottoms,Blue,XS,Fall,supplierc,41.35,105.04
170,P000171,Dresses,Red,XS,Spring,supplierb,11.25,44.18
171,P000172,Dresses,Green,XS,Spring,supplierd,72.79,106.6
172,P000173,Shoes,Yellow,M,Fall,supplierd,67.61,89.13
173,P000174,Bottoms,Black,M,Summer,supplierc,61.33,190.29
174,P000175,Bottoms,Green,XS,Summer,suppliera,65.1,48.13
175,P000176,Shoes,Black,XS,Summer,supplierd,47.96,54.85
176,P000177,Tops,Blue,M,Spring,supplierd,74.02,119.41
177,P000178,Dresses,Black,S,Fall,supplierb,33.41,196.39
178,P000179,Accessories,Black,XL,Fall,supplierb,53.09,179.91
179,P000180,Dresses,Red,S,Spring,supplierc,14.32,81.84
180,P000181,Dresses,Black,XL,Winter,supplierb,79.42,56.87
181,P000182,Tops,White,M,Summer,supplierd,28.5,87.06
182,P000183,Dresses,Black,XS,Fall,supplierd,78.45,132.88
183,P000184,Shoes,Black,XS,Fall,suppliera,56.23,65.89
184,P000185,Shoes,Blue,XS,Summer,supplierc,39.93,156.04
185,P000186,Bottoms,Black,S,Summer,supplierc,45.8,108.28
186,P000187,Accessories,Red,XS,Summer,supplierb,26.77,86.78
187,P000188,Dresses,Blue,XL,Summer,supplierc,46.18,133.07
188,P000189,Dresses,Green,XS,Winter,supplierd,26.98,20.07
189,P000190,Tops,White,M,Winter,suppliera,69.86,161.9
190,P000191,Shoes,White,XS,Spring,suppliera,53.54,16.8
191,P000192,Accessories,Green,S,Summer,suppliera,23.58,142.11
192,P000193,Bottoms,Black,S,Winter,supplierb,15.53,156.12
193,P000194,Shoes,Red,M,Spring,supplierc,8.95,20.38
194,P000195,Bottoms,Red,L,Summer,supplierb,25.02,18.45
195,P000196,Tops,Red,S,Winter,supplierc,58.08,157.76
196,P000197,Tops,Red,L,Summer,supplierb,28.38,76.15
197,P000198,Dresses,Black,M,Spring,supplierb,52.77,153.91
198,P000199,Accessories,Green,XS,Winter,suppliera,72.15,120.6
199,P000200,Bottoms,Green,L,Spring,supplierb,77.93,40.23
200,P000201,Shoes,White,M,Summer,supplierd,61.6,165.42
201,P000202,Tops,Green,L,Spring,suppliera,54.95,58.64
202,P000203,Dresses,Red,L,Fall,supplierd,57.94,75.61
203,P000204,Dresses,Black,XS,Summer,supplierb,15.74,55.21
204,P000205,Bottoms,Blue,S,Summer,supplierc,59.64,15.21
205,P000206,Tops,Blue,L,Spring,supplierb,38.43,147.24
206,P000207,Accessories,Red,XL,Summer,supplierc,20.68,110.03
207,P000208,Tops,Yellow,XS,Winter,supplierd,9.82,90.63
208,P000209,Bottoms,White,XL,Fall,supplierd,38.51,11.4
209,P000210,Bottoms,Unknown,XS,Summer,supplierb,18.87,100.81
210,P000211,Tops,Unknown,XS,Fall,supplierd,51.93,54.53
211,P000212,Bottoms,Red,S,Summer,supplierc,20.3,120.6
212,P000213,Tops,Black,XL,Winter,supplierb,31.71,195.44
213,P000214,Shoes,Blue,L,Winter,supplierc,62.65,148.38
214,P000215,Tops,Red,XS,Winter,supplierb,63.43,52.27
215,P000216,Tops,Blue,XL,Fall,supplierc,11.18,111.85
216,P000217,Bottoms,Black,XL,Winter,supplierd,64.73,36.73
217,P000218,Bottoms,Green,S,Summer,supplierb,63.5,87.04
218,P000219,Dresses,Green,XL,Spring,suppliera,35.1,41.39
219,P000220,Dresses,Black,L,Summer,supplierd,45.75,54.89
220,P000221,Shoes,Black,XL,Spring,supplierb,76.39,160.38
221,P000222,Dresses,Green,S,Summer,supplierc,56.07,97.0
222,P000223,Tops,Black,XS,Winter,suppliera,41.23,99.61
223,P000224,Bottoms,Black,XL,Fall,suppliera,73.77,80.15
224,P000225,Dresses,Black,XL,Fall,suppliera,43.97,80.87
225,P000226,Dresses,Green,M,Spring,supplierd,76.99,65.13
226,P000227,Shoes,Green,L,Spring,supplierd,19.1,60.49
227,P000228,Shoes,Unknown,L,Fall,supplierd,9.72,185.07
228,P000229,Tops,Blue,L,Summer,supplierc,73.35,196.74
229,P000230,Unknown,Green,XL,Winter,suppliera,58.26,97.37
230,P000231,Shoes,Blue,L,Fall,suppliera,49.21,95.96
231,P000232,Dresses,Green,L,Winter,suppliera,72.1,61.11
232,P000233,Bottoms,White,M,Fall,suppliera,20.23,138.99
233,P000234,Bottoms,Blue,S,Summer,supplierb,5.66,176.38
234,P000235,Dresses,Black,S,Winter,suppliera,27.79,146.37
235,P000236,Shoes,White,XS,Summer,supplierc,26.16,78.52
236,P000237,Dresses,Yellow,M,Winter,supplierc,42.65,31.45
237,P000238,Bottoms,Green,XL,Fall,suppliera,37.05,49.5
238,P000239,Accessories,Green,XS,Winter,suppliera,8.01,27.12
239,P000240,Accessories,Yellow,L,Summer,suppliera,56.77,116.26
240,P000241,Tops,White,XS,Spring,supplierc,39.42,191.02
241,P000242,Dresses,Red,S,Spring,supplierd,66.26,77.69
242,P000243,Dresses,Black,XS,Fall,supplierb,76.99,70.56
243,P000244,Tops,Blue,XS,Winter,supplierb,7.31,120.12
244,P000245,Tops,White,M,Spring,supplierc,71.98,30.99
245,P000246,Tops,Blue,L,Summer,supplierb,31.0,90.15
246,P000247,Bottoms,Green,XL,Fall,supplierb,25.69,71.55
247,P000248,Dresses,Red,XL,Winter,supplierc,69.07,149.3
248,P000249,Bottoms,Yellow,M,Winter,supplierd,38.11,152.15
249,P000250,Tops,Red,M,Summer,supplierc,60.18,145.12
250,P000251,Dresses,Blue,XL,Fall,supplierc,67.01,100.93
251,P000252,Bottoms,Yellow,XS,Summer,supplierd,40.09,172.73
252,P000253,Bottoms,Green,L,Winter,supplierb,11.91,175.84
253,P000254,Tops,Yellow,XL,Fall,supplierb,12.57,27.21
254,P000255,Dresses,Yellow,XS,Winter,supplierc,77.01,178.11
255,P000256,Tops,Red,XS,Spring,suppliera,77.63,89.58
256,P000257,Dresses,Black,S,Summer,suppliera,22.32,110.61
257,P000258,Accessories,Green,M,Summer,supplierb,13.85,22.58
258,P000259,Shoes,White,XL,Winter,supplierd,78.11,165.99
259,P000260,Shoes,White,XL,Fall,supplierc,59.07,33.65
260,P000261,Shoes,White,L,Summer,supplierb,62.57,49.22
261,P000262,Tops,Black,XL,Summer,suppliera,28.42,101.47
262,P000263,Accessories,Green,XS,Summer,suppliera,5.56,178.02
263,P000264,Dresses,Yellow,XS,Fall,suppliera,30.66,87.4
264,P000265,Bottoms,Blue,L,Winter,supplierc,18.4,129.66
265,P000266,Dresses,Blue,XS,Winter,supplierd,66.77,61.97
266,P000267,Bottoms,Green,XS,Fall,supplierc,32.79,40.59
267,P000268,Dresses,Black,XL,Winter,supplierc,70.35,60.63
268,P000269,Accessories,Green,M,Fall,suppliera,66.28,106.3
269,P000270,Bottoms,Blue,XL,Spring,supplierb,56.49,191.7
270,P000271,Tops,Green,S,Spring,supplierc,48.45,102.13
271,P000272,Dresses,White,L,Summer,suppliera,67.57,16.51
272,P000273,Dresses,Yellow,XS,Summer,supplierd,72.39,81.68
273,P000274,Bottoms,Green,XL,Fall,supplierb,74.37,88.31
274,P000275,Tops,Yellow,XL,Spring,supplierd,59.39,138.27
275,P000276,Tops,Red,XS,Summer,suppliera,53.8,183.63
276,P000277,Accessories,Green,L,Summer,supplierb,31.08,100.28
277,P000278,Tops,Blue,XL,Spring,supplierd,50.37,69.34
278,P000279,Tops,Blue,M,Spring,suppliera,67.54,146.54
279,P000280,Tops,Yellow,XS,Winter,supplierb,45.07,110.54
280,P000281,Shoes,Blue,L,Summer,supplierb,45.66,185.02
281,P000282,Accessories,White,S,Winter,supplierb,62.14,51.02
282,P000283,Dresses,Blue,XS,Winter,supplierb,50.09,71.37
283,P000284,Bottoms,Red,S,Spring,supplierc,34.29,81.11
284,P000285,Dresses,Green,XS,Summer,supplierd,36.86,105.21
285,P000286,Accessories,Black,XL,Fall,supplierb,29.96,144.87
286,P000287,Bottoms,Blue,L,Fall,suppliera,23.29,91.69
287,P000288,Accessories,Green,M,Winter,supplierd,25.03,48.99
288,P000289,Tops,White,S,Fall,suppliera,25.48,131.74
289,P000290,Bottoms,Green,S,Fall,supplierb,54.65,160.69
290,P000291,Tops,Blue,XS,Spring,suppliera,76.12,196.76
291,P000292,Dresses,Blue,S,Spring,suppliera,68.04,181.65
292,P000293,Dresses,Yellow,XS,Summer,supplierb,58.9,44.1
293,P000294,Bottoms,Blue,XS,Winter,supplierc,47.13,155.38
294,P000295,Bottoms,Red,S,Spring,supplierd,59.85,150.44
295,P000296,Accessories,Green,S,Winter,supplierb,12.31,46.71
296,P000297,Accessories,Yellow,XL,Spring,supplierd,30.15,78.2
297,P000298,Tops,Black,XL,Winter,supplierb,41.36,39.04
298,P000299,Bottoms,Red,XL,Winter,supplierc,27.54,196.17
299,P000300,Dresses,Black,L,Fall,supplierb,54.04,197.65
300,P000301,Accessories,Blue,M,Winter,supplierb,18.39,29.88
301,P000302,Accessories,Black,XL,Spring,supplierc,34.28,151.97
302,P000303,Dresses,Black,XL,Winter,supplierd,76.28,191.22
303,P000304,Accessories,Red,XS,Spring,supplierc,47.16,93.93
304,P000305,Unknown,Red,M,Spring,suppliera,58.44,129.66
305,P000306,Bottoms,Green,S,Fall,supplierb,31.66,124.78
306,P000307,Dresses,Black,L,Winter,supplierb,66.15,14.45
307,P000308,Bottoms,Red,S,Spring,supplierb,30.53,25.71
308,P000309,Accessories,Green,XS,Spring,suppliera,19.68,63.38
309,P000310,Accessories,Black,L,Winter,suppliera,36.23,131.43
310,P000311,Dresses,Black,XL,Winter,supplierd,22.0,114.17
311,P000312,Tops,Yellow,M,Spring,supplierc,55.9,43.05
312,P000313,Shoes,Unknown,M,Winter,supplierd,12.27,196.89
313,P000314,Dresses,Red,XL,Summer,suppliera,58.54,24.08
314,P000315,Shoes,Unknown,S,Winter,supplierc,72.8,144.61
315,P000316,Shoes,Yellow,S,Summer,supplierd,71.23,181.49
316,P000317,Tops,Red,XL,Spring,suppliera,60.41,32.55
317,P000318,Shoes,Yellow,XL,Fall,supplierb,30.81,171.75
318,P000319,Shoes,Blue,M,Spring,supplierb,78.31,162.43
319,P000320,Tops,Yellow,S,Winter,supplierb,63.97,17.15
320,P000321,Shoes,Yellow,L,Spring,suppliera,75.95,144.17
321,P000322,Shoes,Green,L,Winter,supplierd,48.03,92.51
322,P000323,Shoes,Red,XS,Summer,supplierb,67.04,61.1
323,P000324,Dresses,Black,XS,Winter,supplierd,22.81,118.92
324,P000325,Dresses,White,XS,Fall,suppliera,32.6,111.49
325,P000326,Dresses,Green,S,Fall,supplierb,54.22,161.66
326,P000327,Tops,Red,L,Winter,suppliera,8.98,130.9
327,P000328,Accessories,Green,S,Fall,supplierc,15.32,112.85
328,P000329,Shoes,Black,XL,Fall,supplierb,77.5,185.67
329,P000330,Shoes,Yellow,M,Fall,supplierb,32.62,151.04
330,P000331,Tops,White,XS,Spring,supplierd,26.13,96.22
331,P000332,Shoes,Black,XL,Winter,suppliera,43.57,89.34
332,P000333,Dresses,White,XL,Spring,supplierc,14.47,29.56
333,P000334,Accessories,Green,M,Fall,suppliera,21.98,106.68
334,P000335,Bottoms,Yellow,L,Summer,supplierc,13.65,74.23
335,P000336,Shoes,Yellow,L,Spring,supplierb,10.43,121.0
336,P000337,Dresses,Red,XL,Summer,supplierd,33.97,111.23
337,P000338,Bottoms,White,M,Winter,suppliera,41.48,194.01
338,P000339,Accessories,Black,L,Spring,supplierd,6.43,96.25
339,P000340,Bottoms,White,XS,Summer,suppliera,16.7,160.05
340,P000341,Dresses,Green,S,Fall,supplierc,57.9,137.25
341,P000342,Bottoms,Yellow,M,Spring,supplierd,46.28,105.26
342,P000343,Tops,Green,XL,Winter,supplierb,23.76,89.06
343,P000344,Bottoms,Green,S,Fall,suppliera,31.6,77.15
344,P000345,Shoes,Red,L,Summer,supplierd,16.65,114.91
345,P000346,Shoes,Green,L,Fall,supplierb,73.38,48.41
346,P000347,Tops,Red,M,Winter,supplierc,72.48,11.3
347,P000348,Dresses,Blue,S,Winter,supplierc,45.44,145.88
348,P000349,Shoes,White,L,Spring,supplierd,69.12,75.07
349,P000350,Accessories,Yellow,M,Fall,supplierd,40.78,193.26
350,P000351,Shoes,Yellow,S,Spring,supplierd,65.93,132.43
351,P000352,Shoes,Black,XL,Summer,supplierb,48.79,34.04
352,P000353,Dresses,Yellow,XL,Summer,supplierd,29.49,96.41
353,P000354,Bottoms,Red,L,Spring,suppliera,34.74,158.92
354,P000355,Shoes,Yellow,M,Winter,supplierc,9.96,117.98
355,P000356,Tops,Red,XS,Fall,supplierc,20.92,55.93
356,P000357,Bottoms,Yellow,L,Fall,supplierc,35.04,43.03
357,P000358,Accessories,Black,XS,Fall,supplierb,39.23,190.68
358,P000359,Dresses,White,S,Spring,supplierc,8.64,46.3
359,P000360,Accessories,Green,M,Winter,supplierc,41.6,81.81
360,P000361,Bottoms,White,L,Winter,supplierd,69.26,74.78
361,P000362,Bottoms,Red,XL,Spring,suppliera,16.55,177.33
362,P000363,Bottoms,Green,S,Spring,suppliera,24.59,190.35
363,P000364,Accessories,Blue,S,Spring,supplierc,65.52,158.25
364,P000365,Bottoms,Black,S,Summer,supplierb,63.25,137.29
365,P000366,Accessories,White,XS,Winter,supplierc,29.56,182.64
366,P000367,Bottoms,Green,XS,Spring,supplierb,59.66,118.63
367,P000368,Tops,Black,S,Winter,supplierb,46.1,88.38
368,P000369,Bottoms,White,L,Winter,supplierd,33.45,148.97
369,P000370,Accessories,Red,XS,Winter,supplierc,6.83,50.28
370,P000371,Shoes,Red,M,Spring,supplierb,38.57,183.3
371,P000372,Bottoms,Red,XL,Spring,supplierd,36.68,53.52
372,P000373,Shoes,Blue,L,Winter,supplierb,10.37,57.92
373,P000374,Tops,Yellow,M,Winter,suppliera,14.55,152.78
374,P000375,Dresses,Red,XS,Spring,supplierb,37.71,151.0
375,P000376,Tops,Red,XL,Fall,supplierc,6.16,77.68
376,P000377,Bottoms,Yellow,S,Winter,supplierd,74.63,150.31
377,P000378,Shoes,Red,XL,Summer,supplierb,58.36,189.15
378,P000379,Shoes,Green,S,Spring,supplierb,79.51,42.1
379,P000380,Accessories,Black,M,Spring,supplierc,20.59,151.48
380,P000381,Shoes,Blue,M,Spring,supplierc,25.88,139.04
381,P000382,Accessories,White,L,Winter,supplierc,21.3,197.45
382,P000383,Dresses,Yellow,M,Summer,supplierc,67.95,116.22
383,P000384,Bottoms,Yellow,XS,Winter,suppliera,29.54,111.9
384,P000385,Accessories,Yellow,XS,Summer,suppliera,8.33,45.81
385,P000386,Dresses,Blue,XL,Summer,supplierb,31.97,66.84
386,P000387,Shoes,Black,S,Spring,supplierc,36.94,91.54
387,P000388,Shoes,Red,XL,Fall,supplierb,34.45,74.74
388,P000389,Dresses,Yellow,L,Fall,supplierd,66.91,27.44
389,P000390,Shoes,Red,L,Fall,suppliera,76.4,176.7
390,P000391,Dresses,White,XS,Summer,supplierb,48.64,16.05
391,P000392,Accessories,Yellow,L,Winter,supplierc,50.54,87.04
392,P000393,Accessories,Blue,XS,Fall,supplierb,25.49,93.97
393,P000394,Dresses,Blue,S,Winter,supplierc,69.91,56.52
394,P000395,Accessories,Unknown,XL,Winter,supplierd,23.53,30.37
395,P000396,Accessories,Blue,L,Winter,supplierd,15.76,126.77
396,P000397,Accessories,Blue,S,Summer,supplierc,60.24,98.92
397,P000398,Tops,Blue,L,Winter,supplierb,60.61,68.65
398,P000399,Bottoms,Yellow,M,Fall,suppliera,57.18,198.36
399,P000400,Shoes,White,L,Fall,supplierc,60.23,154.52
400,P000401,Tops,Yellow,S,Spring,supplierb,66.08,194.12
401,P000402,Accessories,White,L,Spring,supplierc,72.31,125.63
402,P000403,Dresses,Black,M,Fall,supplierc,7.54,131.95
403,P000404,Accessories,Blue,L,Spring,supplierc,53.99,110.61
404,P000405,Bottoms,Black,S,Spring,suppliera,27.1,184.11
405,P000406,Accessories,Green,XS,Spring,supplierd,48.61,61.12
406,P000407,Dresses,Green,S,Spring,supplierb,69.36,170.63
407,P000408,Bottoms,Blue,XS,Winter,suppliera,60.25,78.27
408,P000409,Accessories,Red,XS,Fall,suppliera,19.61,191.51
409,P000410,Bottoms,Green,XL,Spring,supplierb,48.01,44.83
410,P000411,Shoes,Red,S,Spring,supplierc,17.82,109.6
411,P000412,Shoes,Black,XL,Spring,supplierd,23.4,124.68
